oid,site_id,archival_only,why_hidden,name_system,name_site,name_short,admin_office,street1,street2,city,state_usa,zipcode,latitude,longitude,website,phone1,phone2,date_firstfind,date_lastfind,data_review,date_update
100001,S00140,True,Not a practice site,City of Philadelphia Public Health,"Ambulatory Health Services, Main Admin Office",CPPH: Admin,True,1101 Market St,8th Floor,Philadelphia,PA,19107,39.95213399,-75.15845301,http://www.phila.gov/health/AmbulatoryHealth/,215-685-4758,,2021-02-23,2021-02-23,Use updated website (2021 redirected URL for PDPH) in sites_all: https://www.phila.gov/departments/department-of-public-health/,
100002,S00141,False,,City of Philadelphia Public Health,District Health Center #2,CPPH: Health Ctr #2,False,1700 South Broad St,Unit 201,Philadelphia,PA,19145,39.92895099,-75.16937103,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-1803,,2020-03-01,2021-02-23,,
100003,S00142,False,,City of Philadelphia Public Health,District Health Center #3,CPPH: Health Ctr #3,False,555 South 43rd St,,Philadelphia,PA,19104,39.94894501,-75.208971,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-7504,,2020-03-01,2021-02-23,,
100004,S00143,False,,City of Philadelphia Public Health,District Health Center #4,CPPH: Health Ctr #4,False,4400 Haverford Ave,,Philadelphia,PA,19104,39.96252819,-75.21063116,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-7601,,2020-03-01,2021-02-23,Corrected: ZIP typo from 19121 to 19104,
100005,S00144,False,,City of Philadelphia Public Health,District Health Center #5,CPPH: Health Ctr #5,False,1900 North 20th St,,Philadelphia,PA,19121,39.98317901,-75.16692997,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-2933,,2020-03-01,2021-02-23,Corrected: ZIP typo from 19130 to 19121,
100006,S00145,False,,City of Philadelphia Public Health,District Health Center #6,CPPH: Health Ctr #6,False,321 West Girard Ave,,Philadelphia,PA,19123,39.96991853,-75.14227521,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-3800,,2020-03-01,2021-02-23,"Corrected: street_address typo corrected from ""301"" to ""321"" (West Girard Ave)",
100007,S00146,False,,City of Philadelphia Public Health,District Health Center #9,CPPH: Health Ctr #9,False,131 East Chelten Ave,,Philadelphia,PA,19144,40.0379496,-75.17267458,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-5701,,2020-03-01,2021-02-23,,
100008,S00147,False,,City of Philadelphia Public Health,District Health Center #10,CPPH: Health Ctr #10,False,2230 Cottman Ave,,Philadelphia,PA,19149,40.04814199,-75.06149401,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-0639,,2020-03-01,2021-02-23,,
100009,S00149,False,,City of Philadelphia Public Health,Strawberry Mansion Health Center,CPPH: Strawberry Mansion,False,2840 West Dauphin St,,Philadelphia,PA,19132,39.99084383,-75.17931232,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-2400,,2020-03-01,2021-02-23,,
100010,S00150,False,,"Delaware Valley Community Health, Inc. (DVCH)",Main Admin Office,DVCH: Admin,True,1412 Fairmount Ave,2nd Floor,Philadelphia,PA,19130,39.96682399,-75.16141199,http://www.dvch.org/,215-235-9600,,2021-02-23,2021-02-23,"Corrected: street_address from ""1420"" to ""1412"" and ""2nd Floor"" added (per DVCH website)",
100011,S00150,False,,"Delaware Valley Community Health, Inc.",Fairmount Primary Care Center,DVCH: FPCC,,1412 Fairmount Ave,,Philadelphia,PA,19130,39.96682399,-75.16141199,http://dvch.org/,215-235-9600,,2020-03-01,2021-02-23,,
100012,S00151,False,,"Delaware Valley Community Health, Inc.",Fairmount Primary Care Center at Girard Medical Center,DVCH: FPCC-GMC,False,801 West Girard Ave,,Philadelphia,PA,19122,39.97137201,-75.14977598,http://dvch.org/,215-827-8010,,2020-03-01,2021-02-23,,
100013,S00152,False,,"Delaware Valley Community Health, Inc.",Fairmount Primary Care Center at Horizon House,DVCH: FPCC-HH,False,5901 Market St,,Philadelphia,PA,19139,39.96207099,-75.23911902,http://dvch.org/,215-222-2466,,2020-03-01,2021-02-23,"Updated: location on 2021 DVCH website has ""5901 Market St"" (ZIP 19139) instead of ""120 South 30th St"" (ZIP 19104)",
100014,S00095,False,,"Delaware Valley Community Health, Inc.",Fairmount Primary Care Center at Sharon Hill,DVCH: FPCC-SH,False,800 Chester Pike,,Sharon Hill,PA,19079,39.91184499,-75.269876,https://dvch.org/fairmount-primary-sharon-hill/,610-278-7381,,2021-02-23,2021-02-23,Listing ADDED: from DVCH website (not specified on HFP webpage),
100015,S00153,False,,"Delaware Valley Community Health, Inc.",Maria de los Santos Health Center,DVCH: MDLS,False,401 West Allegheny Ave,,Philadelphia,PA,19133,39.99992798,-75.13683701,http://dvch.org/,215-291-2500,,2020-03-01,2021-02-23,,
100016,S00154,False,,"Delaware Valley Community Health, Inc.",Maria de los Santos Womenâ€™s Health Center,DVCH: MDLS WHC,False,400 West Allegheny Ave,Unit B-5,Philadelphia,PA,19133,39.999249,-75.136477,https://dvch.org/maria-de-los-santos-womens-health/,215-207-0522,,2021-02-23,2021-02-23,Listing ADDED: from DVCH website (not specified on HFP webpage),
100017,S00155,False,,"Delaware Valley Community Health, Inc.",Norristown Regional Health Center,DVCH: NRHC,False,1401 DeKalb St,,Norristown,PA,19401,40.12375698,-75.33382104,https://dvch.org/norristown-regional-health/,610-278-7787,,2021-02-23,2021-02-23,,
100018,S00156,False,,"Delaware Valley Community Health, Inc.",Parkview Health Center,DVCH: Parkview OB/GYN,False,841 East Hunting Park Ave,2nd Floor,Philadelphia,PA,19124,40.012076,-75.11035204,http://dvch.org/,215-537-7695,,2020-03-01,2021-02-23,"Updated: address_suppl replaced ""Suite 201"" with ""2nd Floor"" to match 2021 website",
100019,S00157,False,,Esperanza Health Center,Main Admin Office,Esperanza: Admin,True,4417 North 6th St,,Philadelphia,PA,19140,40.01893298,-75.13652897,http://www.esperanzahealthcenter.org/,215-302-3150,,2021-02-23,2021-02-23,,
100020,S00157,False,,Esperanza Health Center,Hunting Park Site,Esperanza: Hunting Park,,4417 North 6th St,,Philadelphia,PA,19140,40.01893298,-75.13652897,http://esperanzahealth.com/,215-302-3600,,2020-03-01,2021-02-23,,
100021,S00158,False,,Esperanza Health Center,Kensington Site,Esperanza: Kensington,False,861 East Allegheny Ave,,Philadelphia,PA,19134,39.99678799,-75.11348201,https://esperanzahealth.com/patients/our-locations/,215-302-3600,215-831-1100,2020-03-01,2021-02-23,"Updated: street_address changed from ""3156 Kensington Ave"" to ""861 East Allegheny Ave"" (same ZIP) in mid-2020 -- separate listing added",
100022,S00159,False,,Esperanza Health Center,Fifth Street Site,Esperanza: 5th St,False,2940 North 5th St,,Philadelphia,PA,19133,39.99616501,-75.13955098,http://esperanzahealth.com/,215-302-3600,215-221-6633,2020-03-01,2021-02-23,Unclear: current accuracy of phone2 (2021),
100023,S00160,True,Site closed,Esperanza Health Center,Kensington & Allegheny,Esperanza: K & A,False,3156 Kensington Ave,,Philadelphia,PA,19134,39.99630201,-75.11431902,http://esperanzahealth.com/,215-831-1100,215-302-3600,2020-03-01,2020-06-30,,
100024,S00161,False,,The Family Practice & Counseling Network (FPCN),Main Admin Office,FPCN: Admin,True,4700 Wissahickon Ave,"Building D, Suite 118",Philadelphia,PA,19144,40.01538098,-75.174055,http://www.fpcn.com/,215-298-0405,,2021-02-23,2021-02-23,,
100025,S00161,False,,The Family Practice & Counseling Network (FPCN),Abbotsford-Falls Health Center,FPCN: Abbottsford-Falls,,4700 Wissahickon Ave,"Building D, Suite 119",Philadelphia,PA,19144,40.01538098,-75.174055,http://www.fpcn.com/,215-843-9720,,2020-03-01,2021-02-23,,
100026,S00162,False,,The Family Practice & Counseling Network (FPCN),Stephen and Sandra Sheller 11th Street Family Health Services of Drexel University,FPCN: Sheller/Drexel,False,850 North 11th St,,Philadelphia,PA,19123,39.96798702,-75.154971,http://www.fpcn.com/,215-769-1100,,2020-03-01,2021-02-23,,
100027,S00163,False,,The Family Practice & Counseling Network (FPCN),Fast Family Care at Shoprite,FPCN: Shoprite,False,2800 Fox St,Unit A,Philadelphia,PA,19129,40.00899401,-75.17463696,http://www.fpcn.com/,267-597-3610,,2020-03-01,2021-02-23,,
100028,S00164,False,,The Family Practice & Counseling Network (FPCN),Health Annex,FPCN: Health Annex,False,6120B Woodland Ave,2nd Floor,Philadelphia,PA,19143,39.92891474,-75.22948144,http://www.fpcn.com/,215-727-4721,,2020-03-01,2021-02-23,,
100029,S00165,False,,The Family Practice & Counseling Network (FPCN),Annex West Health Center,FPCN: Annex West,False,3901 Market St,,Philadelphia,PA,19104,39.957456,-75.20114599,http://www.fpcn.com/,215-243-2800,,2020-03-01,2021-02-23,,
100030,S00166,False,,"Greater Philadelphia Health Action, Inc. (GPHA)",Main Admin Office,GPHA: Admin,True,1401 South 31st St,,Philadelphia,PA,19146,39.93599099,-75.19505301,http://www.gphainc.org/,215-925-2400,,2021-02-23,2021-02-23,,
100031,S00086,False,,"Greater Philadelphia Health Action, Inc. (GPHA)",Al-Assist Behavioral Healthcare Center,GPHA: 4th St MedSuite,False,1401 South 4th St,,Philadelphia,PA,19147,39.93060201,-75.15147801,http://www.gphainc.org/,215-339-1079,,2020-03-01,2021-02-23,"Updated: name_site changed from ""4th Street Medical Suite"" (HFP) to ""Al-Assist Behavioral Healthcare Center"" (GPHA website, 2021)",
100032,S00166,False,,"Greater Philadelphia Health Action, Inc. (GPHA)",Carl Moore Health Center,GPHA: Carl Moore,,1401 South 31st St,,Philadelphia,PA,19146,39.93599099,-75.19505301,http://www.gphainc.org/,215-755-7700,,2020-03-01,2021-02-23,,
100033,S00167,False,,"Greater Philadelphia Health Action, Inc. (GPHA)",Chinatown Medical Services,GPHA: Chinatown,False,432 North 6th St,,Philadelphia,PA,19123,39.95919584,-75.14867377,http://www.gphainc.org/,215-627-8000,,2020-03-01,2021-02-23,,
100034,S00168,False,,"Greater Philadelphia Health Action, Inc. (GPHA)",Frankford Avenue Health Center,GPHA: Frankford Ave,False,4500-4510 Frankford Ave,,Philadelphia,PA,19124,40.01433899,-75.08635004,http://www.gphainc.org/,215-744-1302,,2020-03-01,2021-02-23,,
100035,S00169,False,,"Greater Philadelphia Health Action, Inc. (GPHA)","GPHA, Inc. Dental and Behavioral Health",GPHA: Dental & Behavioral,False,5501 Woodland Ave,,Philadelphia,PA,19143,39.93547898,-75.220807,http://www.gphainc.org/,215-724-4700,,2020-03-01,2021-02-23,,
100036,S00170,False,,"Greater Philadelphia Health Action, Inc. (GPHA)","GPHA, Inc. Medical Suite at Temple University Kornberg School of Dentistry",GPHA: Temple Kornberg,False,3223 North Broad St,"1st Floor, Suite 136",Philadelphia,PA,19140,40.00261501,-75.15207296,http://www.gphainc.org/,215-226-3789,,2020-03-01,2021-02-23,,
100037,S00171,False,,"Greater Philadelphia Health Action, Inc. (GPHA)",GPHA Spectrum Behavioral Services,GPHA: Spectrum Behavioral Services,False,1489 Baltimore Pike,"Building 300, Suite 300",Springfield,PA,19064,39.91192701,-75.35832301,http://www.gphainc.org/,484-472-7430,,2020-03-01,2021-02-23,,
100038,S00172,False,,"Greater Philadelphia Health Action, Inc. (GPHA)",Hunting Park Health Center,GPHA: Hunting Park,False,1999 West Hunting Park Ave,,Philadelphia,PA,19140,40.01310999,-75.16109197,http://www.gphainc.org/,215-228-9300,,2020-03-01,2021-02-23,,
100039,S00173,False,,"Greater Philadelphia Health Action, Inc. (GPHA)",Snyder Avenue Dental Center,GPHA: Snyder Ave,False,640 Snyder Ave,,Philadelphia,PA,19148,39.92269201,-75.157933,http://www.gphainc.org/,215-334-4900,,2020-03-01,2021-02-23,,
100040,S00174,False,,"Greater Philadelphia Health Action, Inc. (GPHA)",Southeast Health Center,GPHA: Southeast,False,800 Washington Ave,,Philadelphia,PA,19147,39.93579301,-75.15722004,http://www.gphainc.org/,215-339-5100,,2020-03-01,2021-02-23,,
100041,S00175,False,,"Greater Philadelphia Health Action, Inc. (GPHA)",Woodland Avenue Health Center,GPHA: Woodland Ave,False,5000 Woodland Ave,,Philadelphia,PA,19143,39.93959399,-75.21394398,http://www.gphainc.org/,215-726-9807,,2020-03-01,2021-02-23,,
100042,S00176,False,,Public Health Management Corporation (PHMC),Main Admin Office,PHMC: Admin,True,1500 Market St,Suite 1500,Philadelphia,PA,19102,39.95216002,-75.16622899,http://www.phmc.org/,215-985-2500,,2021-02-23,2021-02-23,,
100043,S00177,False,,Public Health Management Corporation (PHMC),Congresso Health Center,PHMC: Congreso,False,412 West Lehigh Ave,,Philadelphia,PA,19133,39.99159201,-75.139697,http://www.phmc.org/site/,267-765-2272,,2020-03-01,2021-02-23,,
100044,S00178,False,,Public Health Management Corporation (PHMC),Health Connection,PHMC: Health Connection,False,1900 North 9th St,,Philadelphia,PA,19122,39.98117699,-75.14905204,http://www.phmc.org/site/,215-765-6690,,2020-03-01,2021-02-23,,
100045,S00050,False,,Public Health Management Corporation (PHMC),Care Clinic,PHMC: Care Clinic,False,1200 Callowhill St,Suite 101,Philadelphia,PA,19123,39.95904123,-75.1583643,http://www.phmc.org/site/,215-825-8220,,2020-03-01,2021-02-23,,
100046,S00179,False,,Public Health Management Corporation (PHMC),Mary Howard Health Center,PHMC: Mary Howard,False,125 South 9th St,,Philadelphia,PA,19107,39.94884301,-75.15540099,http://www.phmc.org/site/,215-592-4500,,2020-03-01,2021-02-23,,
100047,S00180,False,,Public Health Management Corporation (PHMC),Rising Sun Health Center,PHMC: Rising Sun,False,5675 North Front St,,Philadelphia,PA,19120,40.03646801,-75.11935303,http://www.phmc.org/site/,215-279-9666,,2020-03-01,2021-02-23,,
100048,S00045,False,,Public Health Management Corporation (PHMC),Pathways to Recovery,PHMC: Pathways to Recovery,False,2301 East Allegheny Ave,,Philadelphia,PA,19134,39.98999798,-75.10601599,https://www.phmc.org/site/32-misc/shared-programs/1242-pathways-to-recovery,215-731-2402,215-985-2573,2020-03-01,2021-02-23,"phone2 = PHMC web listing for Senior Advisor, Substance Use Prevention and Care",
100049,S00181,False,,Philadelphia FIGHT,Main Admin Office,PF: Admin,True,1233 Locust St,3rd Floor,Philadelphia,PA,19107,39.94811499,-75.16194299,http://fight.org/,215-985-4448,,2021-02-23,2021-02-23,,
100050,S00181,False,,Philadelphia FIGHT,Jonathan Lax Treatment Center,PF: Jonathan Lax Ctr,,1233 Locust St,3rd Floor,Philadelphia,PA,19107,39.94811499,-75.16194299,https://fight.org/,215-790-1788,,2020-03-01,2021-02-23,,
100051,S00182,False,,Philadelphia FIGHT,John Bell Health Center,PF: John Bell Ctr,False,1207 Chestnut St,3rd Floor,Philadelphia,PA,19107,39.95074,-75.16050499,https://fight.org/,215-790-1788,,2020-03-01,2021-02-23,,
100052,S00183,False,,Philadelphia FIGHT,Community Health Centers Clinic at Broad Street Ministry,PF: Broad Street,False,315 South Broad St,,Philadelphia,PA,19107,39.94635264,-75.16484131,https://fight.org/programs/broad-street-ministry/,215-525-8681,,2021-02-26,2021-02-26,Added from program website based on finding provider with buprenorphine waiver dated 2020-11-25 (30 patients),
100053,S00066,False,,Pathways,Pathways to Housing PA,Pathways to Housing,False,5201 Old York Rd,Suite 108,Philadelphia,PA,19141,40.032958,-75.144659,https://pathwaystohousingpa.org/,215-390-1500,,2020-03-01,2021-02-23,"Not on HFP site, but included in early 2020 HFP intern notes",
100054,S00070,False,,Project HOME,Stephen Klein Wellness Center,PH: Stephen Klein,True,2144 Cecil B. Moore Ave,,Philadelphia,PA,19121,39.98016601,-75.17080802,https://projecthome.org/skwc,215-320-6187,,2020-03-01,2021-02-23,"2020 note for phone appends ""ext. 5757""",
100055,S00185,False,,Project HOME,Hub of Hope,PH: Hub of Hope,False,1401 Arch St,"Lower Level, Suburban Station Concourse",Philadelphia,PA,19102,39.95473498,-75.16362096,https://projecthome.org/hub-hope,215-309-5225,,2020-03-01,2021-02-23,"Not on HFP site, but included in early 2020 HFP intern notes; URL updated Feb 2021 (manual research)",
100056,S00186,False,,"Quality Community Health Care, Inc. (QCHC)",QCHC Family Health Center,QCHC,True,2501 West Lehigh Ave,,Philadelphia,PA,19132,39.996465,-75.17245004,https://qchc.org/,215-227-0300,,2020-03-01,2021-02-23,,
100057,S00187,False,,"Quality Community Health Care, Inc. (QCHC)",Cooke Family Health Center,QCHC: Cooke,False,1300 West Loudon St,,Philadelphia,PA,19141,40.02582109,-75.14542426,https://qchc.org/,215-457-6902,,2020-03-01,2021-02-23,,
100058,S00188,False,,"Quality Community Health Care, Inc. (QCHC)",Meade Family Health Center,QCHC: Meade,False,1800 West Oxford St,,Philadelphia,PA,19121,39.97837002,-75.16492996,https://qchc.org/,215-765-9501,,2020-03-01,2021-02-23,,
100059,S00189,False,,Sayre Health Center,"Dr. Bernett L. Johnson, Jr. Sayre Health Center",Sayre,True,5800 Walnut St,,Philadelphia,PA,19139,39.95798498,-75.23858904,http://www.sayrehealth.org/,215-474-4444,,2020-03-01,2021-02-23,,
100060,S00190,False,,"Spectrum Health Services, Inc.",Main Admin Office,Spectrum: Admin,True,5201 Haverford Ave,,Philadelphia,PA,19139,39.96542002,-75.225021,http://www.spectrumhs.org/,215-471-2750,,2021-02-23,2021-02-23,,
100061,S00190,False,,"Spectrum Health Services, Inc.",Spectrum Community Health Center (SCHC),Spectrum: SCHC,,5201 Haverford Ave,,Philadelphia,PA,19139,39.96542002,-75.225021,http://www.spectrumhs.org/,215-471-2761,,2020-03-01,2021-02-23,,
100062,S00191,False,,"Spectrum Health Services, Inc.",Broad Street Health Center (BSHC),Spectrum: BSHC,False,1415 North Broad St,"Suite 224, Progressive Human Service Building",Philadelphia,PA,19122,39.97498719,-75.15859411,http://www.spectrumhs.org/,215-235-7944,,2020-03-01,2021-02-23,,
100063,S00192,False,,"Spectrum Health Services, Inc.",Reed Street Health Center (RSHC),Spectrum: RSHC,False,1325 South 33rd St,Suite 300,Philadelphia,PA,19146,39.93704502,-75.19776498,http://www.spectrumhs.org/,215-220-3925,,2020-03-01,2021-02-23,,
100064,S00230,True,Data needs review,"Covenant House Health Services, Inc.",Main Admin Office,CHHS: Admin,True,251 East Bringhurst St,,Philadelphia,PA,19144,40.03465299,-75.16494999,http://www.covenanthousehealth.org/,215-844-1020,,2021-02-23,2021-02-23,"Inactive URL: for sites_all, use most recent archival copy available (2015): https://web.archive.org/web/20151108032653/http://www.covenanthousehealth.org/",
100065,S00230,True,Data needs review,"Covenant House Health Services, Inc.",Covenant House Health Services,CHHS,,251 East Bringhurst St,,Philadelphia,PA,19144,40.03465299,-75.16494999,https://www.covenanthouse.org/,215-844-0181,,2020-03-01,2021-02-23,"Error: URL listed (http://www.covenanthousehealth.org/) is no longer active, compare 2015: https://web.archive.org/web/20151108032653/http://www.covenanthousehealth.org/",
100066,S00231,True,Data needs review,"Covenant House Health Services, Inc.",Covenant House Health and Dental Center,CHHS: Health & Dental,False,138 Chelten Ave,2nd Floor Rear,Philadelphia,PA,19144,40.03281199,-75.17729897,https://www.covenanthouse.org/,267-331-9832,,2020-03-01,2021-02-23,Error: URL listed (https://www.covenanthouse.org/) appears to be for a different organization (not a health center),
100067,S00232,True,Data needs review,"Covenant House Health Services, Inc.",Mt. Pleasant Health Center,CHHS: Mt. Pleasant,False,8125 Stenton Ave,,Philadelphia,PA,19150,40.06749798,-75.17886798,https://www.covenanthouse.org/,215-248-7561,,2020-03-01,2021-02-23,Error: URL listed (https://www.covenanthouse.org/) appears to be for a different organization (not a health center),
