rec_id,site_id,date_firstfind,date_lastfind,name1,name2,street1,street2,city,state_usa,zip5,zip4,tele,county,phone,intake_prompt,phone_intake1,phone_intake2,website,latitude,longitude,type_facility,sa,bu,bum,ub,bwn,bwon,bmw,beri,bsdm,db_field,bmo,mo,mu,meth,mm,mmw,dm,nu,un,vtrl,nxn,rpn,otp,omb,otpa,pain,ulc,moa,odtx,dt,ubn,hh,noop,nmoa,cbt,dbt,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi_field,mi,atr,fsa,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,du,duo,acc,acm,acu,add_field,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,mpd,opc,sae,shb,shc,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,pvtp,pvtn,vo,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40,mat_bupe,mat_ntrex,mat_mtd,mat_misc,mat_avail
1016,S00031,,1/16/2021,Al-Assist,Behavioral Healthcare Center,1401 South 4th Street,,Philadelphia,PA,19147,,0,Philadelphia,215-339-1070,,,,www.gphainc.org,39.9307373030932,-75.1515605696531,SA,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,True,True,True,True,True,,,,,True,,,,,,,True,,,,,,,,,,,,True,True,,,True,,True,,,,True,True,True,True,True,,,,True,,True,True,True,,,,,,,,,True,True,,,,,,True,,,,,True,True,True,True,True,True,,True,True,True,True,,,True,,True,,,True,True,,,True,,,True,True,,True,True,True,True,,True,True,,True,True,True,,,True,True,,True,True,True,,True,True,True,True,True,True,True,,,True,True,True,True,True,,True,,True,True,True,,,,True,,True,True,,True,True,True,True,,True,True,True,,,,,,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
32,S00045,9/8/2020,1/16/2021,Public Health Management Corp,Chances,1200 Callowhill Street,Suite 102,Philadelphia,PA,19123,,0,Philadelphia,215-923-0218 x5231,Intakes,215-923-0218 x5228,215-923-0751,www.phmc.org,39.959067,-75.158713,SA,True,True,,True,True,,,True,,,,,,,,,,True,True,True,True,True,,True,,,,True,,,,,,,True,True,True,True,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,,,,,,,True,True,,,,,,,,True,True,True,True,True,,,True,True,,True,True,True,True,True,True,True,True,,,,,,,,True,True,,,True,True,True,True,True,True,True,True,,,True,True,True,True,,,True,,,,True,True,True,True,True,True,,True,,,True,True,,True,,True,True,True,True,,,True,,True,True,,True,,,,,,,True,,,,True,,,True,,,,,,True,,,,,,,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
12,S00048,9/8/2020,1/16/2021,Pathways to Recovery,PHMC,2301 East Allegheny Avenue,2nd Floor,Philadelphia,PA,19134,,True,Philadelphia,215-731-2402,,,,www.phmc.org,39.9896847,-75.1064647,SA,True,True,True,True,True,True,True,,,True,,,,,,,,True,True,True,True,True,,True,,True,True,,True,True,,,,,True,True,True,True,True,,,True,,,True,,,,True,True,,,,,,,,,,,,,,True,,,,,,,,,,,True,True,True,,,,,,True,,True,True,,,,,,,,,,,,,,,,True,,,True,True,,,True,True,True,True,,True,True,True,True,True,True,True,,,True,True,True,True,,,True,,,True,True,,True,True,True,True,,,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,,True,,True,,,,,,,True,,,,,,,True,,True,True,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
23,S00048,9/8/2020,1/16/2021,Beacon Point Recovery Center,,2301 East Allegheny Avenue,,Philadelphia,PA,19134,,True,Philadelphia,215-337-2950,,,,,39.9896847,-75.1064647,SA,True,True,,True,True,True,,True,True,True,,,,,,,,True,True,True,True,,,,,,,,True,True,,,,,True,True,True,True,True,,True,,True,True,,True,True,True,,,,,True,,,,,,,,,,,True,,,,,,,,,,True,,,True,True,,,,,,,True,True,,,,,,,,,True,True,,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,True,,,True,True,True,True,,,True,True,True,True,True,,True,True,True,True,True,,,True,True,True,True,,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,,True,,,True,,,,,,,True,,,,,,True,True,,,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
58,S00064,9/8/2020,1/16/2021,Asociacion Puertorriquenos en,Marcha Inc,4301 Rising Sun Avenue,,Philadelphia,PA,19140,,0,Philadelphia,267-296-7220,,,267-296-7223,www.apmphila.org,40.015968,-75.129542,SA,True,True,True,True,True,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,,True,True,True,True,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,,,,,,True,True,,True,,,,,True,,,True,,,,,,,,,,True,True,,,,,,True,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,,,True,,,True,True,,True,True,True,True,,True,,True,True,True,,True,,True,True,True,True,,,,True,True,True,,True,True,,True,,True,True,True,True,True,,True,,,,,,True,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
57,S00065,1/16/2021,1/16/2021,Asociación Puertorriqueños en Marcha,,2921 North 5th Street,,Philadelphia,PA,19133,2800,True,Philadelphia,215-259-3373,,,,,39.995666,-75.1391359,SA,True,True,True,True,True,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,,True,True,True,True,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,,,,,,True,True,,True,,,,,True,,,True,,,,,,,,,,True,True,,,,,,True,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,,,True,,,True,True,,True,True,True,True,,True,,True,True,True,,True,,True,,True,True,,,,True,True,True,,True,True,,True,,True,True,True,True,True,,True,,,,,,True,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
63,S00068,,1/16/2021,Casa de Consejeria y Salud Integral,House of Counseling,616 West Lehigh Avenue,,Philadelphia,PA,19133,,0,Philadelphia,215-501-7629,,,,www.casacares.net,39.9922578,-75.1428212,SA,True,True,True,True,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,True,True,True,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,,,,,,True,True,True,,,,,True,,,,True,,,,,,True,,True,,True,True,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,,True,,True,,,True,True,True,,True,,,,,,,True,True,True,,True,True,,,True,,True,,,,True,True,,,,True,True,True,,True,,,True,,True,,True,,,,True,,,,,,,True,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
7,S00070,9/8/2020,1/16/2021,John F Kennedy Behavioral Health,,907 North Broad Street,,Philadelphia,PA,19123,,0,Philadelphia,215-235-5520,,,,,39.9704202,-75.1591668,SA,True,True,True,,True,,,,,,True,True,True,True,True,,,True,True,,True,,True,True,True,,,,,,,,,,True,,True,True,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,True,True,,,,,,,,,,,,,,,,,,,,True,True,,True,,,,,,,,,True,,True,True,True,True,,True,True,True,True,,,True,,,True,True,True,True,,,True,,,,,,True,True,True,True,,,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,True,,,True,,True,,,,,,,True,,,,,,,,,True,,True,True,,,,,,,,,,,,True,,True,,,True,,,,,,,,True,,,,,,0,0,0,0,0
66,S00071,,1/16/2021,John F Kennedy Behavioral Health,Walk In Clinic,112 North Broad Street,,Philadelphia,PA,19102,,0,Philadelphia,215-568-0860 x3352,,,,www.jfkbhc.org,39.9549413,-75.1634305,SA,True,,,,,,,,,,,,,,,,,True,True,True,True,True,,,,,,,,,,,,,True,True,True,True,,,,True,,,True,,,,,,True,True,,,,,,,,,,,,True,True,True,,,,,,,,,True,True,,,,,,,True,,,,,,,,,,,,True,True,,True,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,,True,,True,,,True,True,,,True,True,,True,True,,True,True,True,True,True,True,,True,,,,True,,True,True,True,True,,,,True,True,,,True,,,True,,True,,True,True,True,,True,,True,,,,,,,True,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
11,S00074,9/8/2020,1/16/2021,Caring Together Addictions and,Mental Health Program for Women,4700 Wissahickon Avenue,"Building C, Suite 102",Philadelphia,PA,19144,,True,Philadelphia,215-967-2130,,,,www.drexelmed.edu/caringtogether,40.0159527,-75.1724136,SA,True,True,True,True,True,True,True,True,,True,,,,,,,,True,True,True,True,True,,True,,,True,True,True,True,,,,,True,True,True,True,True,True,,,,,True,,,,True,,,True,,,,,,,,,,,,True,True,True,,,,,,,,True,True,True,,True,,,True,True,,,,True,,,,,True,,,,True,,,True,True,True,,,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,,,,True,,,,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,,,True,True,True,True,True,True,True,,True,,True,True,True,True,True,,True,,True,,,True,,,True,True,,,True,,,,True,,,,True,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
42,S00082,,1/16/2021,Gaudenzia Inc,New Image Women and Children,1300 East Tulpehocken Street,,Philadelphia,PA,19138,,True,Philadelphia,215-924-6322 x2851,,,215-238-2163 x2204,www.gaudenzia.org,40.0563961,-75.1641601,SA,True,True,True,,True,,,,,,,,,,,,,True,True,True,True,,,,,,,True,,,,,,,True,True,True,True,True,True,,,,True,,True,True,,,,,,,,,,,,,,,,,True,,True,,,True,True,,,,,True,True,,,,,,,,,,True,True,,,,True,,,True,True,,True,True,True,True,True,,,,,,,,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,,,,True,,,,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,,,,True,,,,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
33,S00083,,1/16/2021,Gaudenzia Inc,Outreach II,39 East Schoolhouse Lane,,Philadelphia,PA,19144,,True,Philadelphia,215-849-7200 x2481,,215-849-7200,,www.gaudenzia.org,40.0351545,-75.1721628,SA,True,True,True,True,True,,,,,,,,,,,,,True,True,,True,True,,True,,True,,True,,,,,,,True,,True,True,True,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,,,,True,,,,,True,True,,True,True,True,,,True,True,,,True,,,,,True,,,,True,True,,,,,True,,,,,,,,True,True,True,,True,True,True,True,True,True,,True,,,True,True,True,True,,,True,,,,,True,True,,True,True,,,,,,,,True,,True,True,True,True,,,True,True,True,True,,True,,,True,,True,,True,,,,True,,,True,True,True,,,True,True,True,True,True,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
31,S00084,9/8/2020,1/16/2021,Gaudenzia Inc,ReEntry House,5401 Wayne Avenue,,Philadelphia,PA,19144,,True,Philadelphia,215-438-5082,,,484-678-7358,www.gaudenzia.org,40.0296047,-75.1745567,SA,True,True,True,,True,True,,True,,,,,,,,,,True,True,True,True,True,,,,,,True,,,,True,,,True,True,True,True,True,True,,,,True,,,True,,,,,,,,,,,,,,,,,True,,True,,,True,,,,,True,True,,True,,,,,,,True,True,True,True,True,,,True,True,,,,True,True,True,True,True,,,,,,,True,,True,True,True,True,True,True,True,True,True,,,True,,,True,True,,True,,,True,,,,True,,,True,True,True,,True,True,True,True,True,,,,True,True,True,True,,,True,True,True,True,,True,True,,,,True,True,True,True,True,,True,,,,True,True,,,,True,,,,True,True,,True,,,,True,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
26,S00085,9/8/2020,1/16/2021,Gaudenzia DRC Inc,,3200 Henry Avenue,,Philadelphia,PA,19129,,True,Philadelphia,215-991-9700 x279,Intakes,215-991-9700 x220,610-416-4935,www.gaudenzia.org,40.0093619,-75.1812822,SA,True,True,True,True,True,,True,,,,,,,,,,,True,True,True,True,True,,True,,,,True,,,,True,,,True,True,True,True,True,True,,,,True,True,True,True,,,True,True,True,,,,,,,,,,,,True,True,True,,,,,,,,True,True,True,,True,,,True,True,True,,True,True,True,True,,,True,True,,,True,True,True,True,True,True,True,,,,,,,,True,True,True,,True,True,True,True,True,True,,True,,,True,True,True,True,,,True,,,,True,,True,True,True,True,,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,,,,True,,,,True,True,,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
39,S00086,9/8/2020,1/16/2021,Gaudenzia Inc,Winner Co Occurring/WN and Child Prog,1834 West Tioga Street,,Philadelphia,PA,19140,,0,Philadelphia,215-228-7595,,215-228-7977,,www.gaudenzia.org,40.006923,-75.159757,SA,True,True,,,True,True,,True,,,,,,,,,,True,,True,True,,,,,True,,True,,,,,,,True,True,True,True,True,True,,,,True,,,True,,,,,,,,,,,,,,,,,True,True,True,,,True,,,,,True,True,True,True,True,True,,True,,True,True,,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,,,,,True,,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,True,True,,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,,,True,True,True,True,,True,True,,True,,True,True,True,True,True,,True,,True,,True,True,,,True,True,,True,True,True,True,True,True,True,True,,True,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
67,S00087,,1/16/2021,Gaudenzia Inc,Broad Street Facility,3025 North Broad Street,,Philadelphia,PA,19132,,0,Philadelphia,215-223-9460 x2406,Intakes,215-223-9460 x2416,215-565-6312,www.gaudenzia.org,39.99926,-75.1530357,SA,True,,,,,,,,,,,,,,,,,True,True,True,True,,,,,,,,,,,,,,True,,True,True,,True,,,,True,,True,True,,,,,,,,,,,,,,,,,True,True,True,,,True,,,,,,True,True,True,True,,,True,,,,,True,,,,,,,,,True,True,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,,,True,,,True,True,True,True,,,True,,,,,,True,True,True,True,,,,,True,True,,,,True,True,True,True,,,True,True,True,True,,True,True,True,,,True,True,True,True,True,,True,,True,,,,,,,True,,,,,,,,,,,True,True,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
62,S00088,,1/16/2021,Gaudenzia Inc,Washington House,1516 Washington Avenue,,Philadelphia,PA,19146,,0,Philadelphia,215-985-1200,Intakes,215-985-1200 x2606,215-985-1200 x2605,www.gaudenzia.org,39.9378606,-75.1691759,SA,True,,,,,,,,,,,,,,,,,True,True,True,True,True,,,,,,True,,,,True,,,True,True,True,,,True,,,,True,,,True,,,,,,,,,,,,,,,,,True,,,,,True,,,,,,True,True,True,True,,,,,,,,True,,,,,True,,,,True,,,,,,,True,,,,,,,True,True,,,True,True,True,True,True,True,,True,,,True,True,True,,,,True,,,,True,,True,True,True,True,,,,,True,True,,,,True,True,,True,,,,True,True,True,,,True,,,,True,True,True,True,True,,True,,,,,True,,,,True,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
20,S00089,9/8/2020,1/16/2021,Gaudenzia Inc,Together House/People With Hope,1306 Spring Garden Street,8th Floor,Philadelphia,PA,19123,,0,Philadelphia,215-238-2163 x2216,Intakes,215-238-2163 x2293,215-413-8268 x2242,www.gaudenzia.org,39.9618338,-75.1596912,SA,True,True,True,True,True,,True,,,True,,,,,,,,True,True,True,True,True,,True,,,,,True,True,,,,,True,,True,True,,,True,,,True,True,True,True,True,,True,True,True,,,,,,,,,,,,True,,True,,,True,,,,,True,True,,True,True,True,,True,True,,,,True,True,True,,,True,,,,True,True,True,True,True,True,,True,True,True,,,,,True,True,True,True,True,True,,True,True,,,True,,,True,True,True,True,,,True,,,True,True,,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,True,,,True,True,True,True,,True,True,True,True,,True,True,True,,True,,True,,True,,,,,,,True,,,,True,True,,,,,,True,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
1005,S00089,,1/16/2021,Gaudenzia Inc,Outreach I,1306 Spring Garden Street,1st Floor,Philadelphia,PA,19123,,True,Philadelphia,215-238-2150 x2214,,215-238-2150,,www.gaudenzia.org,39.9619922487352,-75.1594152871987,SA,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,,True,True,True,True,,,,,True,,,,,,True,True,,,,,,,,,,,,,,True,,,True,,,,,True,,True,,True,,,,,,True,True,True,,,,,,,,,True,True,,True,,,True,,,,,,,,True,True,True,,True,True,True,True,True,,,True,,,,,True,True,,,True,,,,,,True,,True,True,,,,True,True,True,,,,True,,True,True,,,True,True,True,True,,True,True,,,,True,,True,True,,,True,,,,True,True,,,True,,,True,True,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
50,S00090,9/8/2020,1/16/2021,My Sisters Place,Thomas Jefferson University,1239 Spring Garden Street,,Philadelphia,PA,19123,3206,0,Philadelphia,215-763-1020,,215-955-3792,,www.jefferson.edu,39.9622834,-75.1590756,SA,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,,True,True,,True,,,,True,,True,True,,,,,,,,,,,,,,,,,True,,True,,,,,,,,True,True,,True,,,,True,,,,,True,True,,,,True,,,True,True,,True,True,True,True,,True,,,,,,,True,True,True,True,True,True,,True,True,,,True,True,,True,True,True,,,,True,,,True,True,True,True,True,True,True,,True,True,,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,,,True,,,,True,,,,,,,,,,True,True,,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
19,S00091,9/8/2020,1/16/2021,Thomas Jefferson University,Narcotic Addiction Rehab Program,NE Corner of South 21st Street and,"Washington Avenue, 1st Floor",Philadelphia,PA,19146,,True,Philadelphia,215-735-5979,,,215-790-9942,www.jefferson.edu,39.936108,-75.1789242,SA,True,True,True,True,True,,,True,,,True,True,True,True,True,,,,,,,,True,True,True,,,,,,,,,,True,,True,True,,True,,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,True,,,,,,True,True,True,True,,,,,,,,,True,,,,,True,,,,True,True,True,True,,,,True,,,,,,,True,True,True,True,True,,True,True,True,,,True,,,True,True,True,True,,,True,,,,True,,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,,True,,,,,,True,,,,,,,,,,,,True,True,True,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
24,S00093,9/8/2020,1/16/2021,Family Center of Thomas Jefferson Univ,Specialized Program for Preg Women,1233 Locust Street,4th Floor,Philadelphia,PA,19107,,0,Philadelphia,215-955-8577,,,,www.jefferson.edu,39.9479863,-75.1618801,SA,True,True,True,True,True,True,True,,,,,,True,True,True,True,,,,,,,True,True,,,,,,,,,,,True,,True,True,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,True,,,,,,True,True,True,True,True,,,True,,,,,True,True,,,,True,,,True,True,,True,True,True,True,,True,,,,,,,True,True,True,True,True,True,True,True,True,,,True,,,True,True,True,,,,True,,,True,True,True,True,True,True,True,,True,True,,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,,,,,,,True,,,,,,,,,,True,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
35,S00094,9/8/2020,1/16/2021,Jefferson Outreach Program,Department of Psychiatry,833 Chestnut Street East,Suite 210-E,Philadelphia,PA,19107,,0,Philadelphia,215-503-2823,Intakes,215-509-2823,215-955-8856,www.jefferson.edu/university/jmc/departments/psychiatry/clinical/programs.html,39.9501406,-75.1549182,SA,True,True,True,True,True,,,,,,,,,,,,,True,,True,True,True,,True,,,,True,,,,,,,True,,True,True,,True,,,,,True,,,,,,,True,,,,,,,,,,,,True,,True,,,,,,,,True,True,,True,,,,,True,,True,,True,,,,,,,,,True,True,,,,,,True,,,,,,,True,,True,True,True,,,True,True,,,True,,,True,True,True,True,,,True,,,,,,True,True,True,True,True,True,,,True,True,,True,,True,True,,True,,,,True,True,True,,True,True,,True,,True,True,,True,True,,True,,,,,True,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
56,S00095,,1/16/2021,Jefferson Intensive Outpatient Program,,1021 South 21st Street,2nd Floor,Philadelphia,PA,19146,,0,Philadelphia,215-790-9942,Intakes,215-790-9942 x262,215-735-5979 x262,hospitals.jefferson.edu/,39.9395187,-75.1780506,SA,True,,,,,,,,,,,True,True,True,True,,,,,,,,True,True,True,,,,,,,,,,True,,True,True,,True,,,,,True,,,,,,True,,,,,,,,,,,,,True,,True,,True,,,,,,True,True,,True,,,,,,,True,,True,,,,,,,,,True,True,,,,,,True,,,,,,,True,True,True,True,True,,True,True,True,,,True,,,True,True,True,True,,,True,,,,True,,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,,True,True,True,True,True,,True,,,,,,True,,,,,,,,,,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
6,S00096,9/8/2020,1/16/2021,Merakey,Parkside Recovery-Germantown,5429 Germantown Avenue,,Philadelphia,PA,19144,,True,Philadelphia,215-754-0240 x207,Intakes,215-754-0240 x165,866-647-0007,www.merakey.org,40.0339722,-75.1713648,SA,True,True,True,True,True,,True,,,,,,True,True,True,True,,True,True,True,,True,True,True,,,,,,,,,,,True,True,True,True,,True,,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,,,True,,,True,True,,,,,,,,,,True,True,,True,,,True,True,,,True,True,True,True,True,True,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,,,True,,,,True,,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,True,True,,True,,,,,,,,,True,,,,,,,,,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
3,S00097,9/8/2020,1/16/2021,Merakey Parkside Recovery,,5000 Parkside Avenue,,Philadelphia,PA,19131,,True,Philadelphia,215-879-6116 x229,Intakes,215-879-6116 x398,866-647-0007,www.merakey.org,39.9796591,-75.2197374,SA,True,True,True,True,True,True,,True,True,,,,True,True,True,,,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,True,,True,,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,,,True,,,True,True,True,True,True,,,True,,,True,True,True,,,,,True,True,,,True,True,True,True,True,True,True,,,,,,,,True,True,True,True,True,True,,True,True,True,,True,,,True,True,True,True,,,True,,,,True,True,True,True,True,True,,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,,True,,True,,,,,,True,,,True,True,True,True,,,,True,,True,True,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
